id,student,merchant,orderTime,status,totalAmount,items
111,stu_9,星巴克,2024-02-10 14:06:00,已完成,141.0,抹茶星冰乐:1;焦糖玛奇朵:1;白桃气泡美式:2;
112,stu_17,古茗,2024-02-10 22:43:00,已完成,17.0,云深幽兰:1;
113,stu_36,古茗,2024-02-11 08:32:00,已完成,65.0,桃桃冰冰李:1;云深幽兰:3;
114,stu_16,蜜雪冰城,2024-02-11 09:15:00,已完成,10.0,冰鲜柠檬水:2;
115,吴十,蜜雪冰城,2024-02-11 20:22:00,已完成,16.0,青提肉多多:1;满杯百香果:1;
116,stu_8,古茗,2024-02-12 20:49:00,已完成,14.0,云雾栀子:1;
117,stu_14,蜜雪冰城,2024-02-12 14:03:00,已完成,5.0,冰鲜柠檬水:1;
118,stu_31,瑞幸,2024-02-13 10:25:00,已完成,21.0,荔枝冰萃:1;
119,stu_11,古茗,2024-02-13 21:48:00,已完成,17.0,云深幽兰:1;
120,stu_41,奈雪的茶,2024-02-14 13:35:00,已完成,51.0,茉莉初雪奶茶:1;霸气橙子:1;金色山脉珍珠奶茶:1;
121,stu_36,蜜雪冰城,2024-02-14 14:36:00,已完成,3.0,新鲜冰激凌:1;
122,stu_19,茶百道,2024-02-14 07:31:00,已完成,18.0,蜜瓜冰淇淋:1;
123,stu_41,茶百道,2024-02-14 11:40:00,已完成,68.0,青提茉莉:2;超级大瓜:1;蜜瓜冰淇淋:1;
124,stu_24,蜜雪冰城,2024-02-15 21:47:00,已完成,3.0,新鲜冰激凌:1;
125,stu_21,蜜雪冰城,2024-02-15 13:32:00,已完成,6.0,新鲜冰激凌:2;
126,stu_10,古茗,2024-02-16 20:04:00,已完成,42.0,云雾栀子:3;
127,stu_14,茶百道,2024-02-16 10:08:00,已完成,14.0,青提茉莉:1;
128,stu_41,古茗,2024-02-16 21:17:00,已完成,59.0,桃桃冰冰李:1;云深幽兰:1;云雾栀子:2;
129,stu_30,古茗,2024-02-17 21:01:00,已完成,14.0,云雾栀子:1;
130,stu_45,茶百道,2024-02-17 16:48:00,已完成,14.0,青提茉莉:1;
131,stu_28,茶百道,2024-02-17 22:55:00,已完成,28.0,青提茉莉:2;
132,张三,蜜雪冰城,2024-02-18 18:48:00,已完成,48.0,青提肉多多:2;新鲜冰激凌:1;满杯百香果:3;冰鲜柠檬水:1;
133,stu_23,蜜雪冰城,2024-02-18 13:06:00,已完成,32.0,青提肉多多:3;新鲜冰激凌:1;冰鲜柠檬水:1;
134,李四,茶百道,2024-02-18 08:51:00,已完成,96.0,青提茉莉:4;超级大瓜:1;蜜瓜冰淇淋:1;
135,stu_48,古茗,2024-02-18 17:07:00,已完成,59.0,桃桃冰冰李:2;云深幽兰:1;云雾栀子:1;
136,stu_15,古茗,2024-02-19 07:19:00,已完成,14.0,云雾栀子:1;
137,stu_13,瑞幸,2024-02-19 18:15:00,已完成,64.8,橙C美式:1;羽衣轻体果蔬茶:1;荔枝冰萃:1;生椰拿铁:1;
138,stu_42,蜜雪冰城,2024-02-20 14:03:00,已完成,16.0,满杯百香果:2;
139,钱七,茶百道,2024-02-20 10:42:00,已完成,28.0,青提茉莉:2;
140,stu_44,茶百道,2024-02-20 21:28:00,已完成,18.0,蜜瓜冰淇淋:1;
141,stu_29,瑞幸,2024-02-20 18:08:00,已完成,80.8,橙C美式:2;羽衣轻体果蔬茶:1;鲜萃轻轻茉莉:1;荔枝冰萃:1;
142,stu_33,茶百道,2024-02-21 06:58:00,已取消,14.0,青提茉莉:1;
143,stu_14,奈雪的茶,2024-02-21 12:36:00,已完成,35.0,茉莉初雪奶茶:1;霸气橙子:1;
144,stu_24,古茗,2024-02-22 20:00:00,已完成,116.0,桃桃冰冰李:1;云深幽兰:6;
145,stu_18,星巴克,2024-02-22 20:29:00,已完成,37.0,焦糖玛奇朵:1;
146,stu_21,古茗,2024-02-22 09:50:00,已完成,45.0,桃桃冰冰李:1;云深幽兰:1;云雾栀子:1;
147,stu_8,星巴克,2024-02-22 13:06:00,已完成,39.0,比利时黑巧拿铁:1;
148,stu_3,喜茶,2024-02-23 06:26:00,已完成,38.0,羽衣纤体瓶:2;
149,stu_48,奈雪的茶,2024-02-23 22:46:00,已完成,67.0,茉莉初雪奶茶:2;霸气橙子:1;金色山脉珍珠奶茶:1;
150,stu_35,奈雪的茶,2024-02-24 15:59:00,已完成,35.0,茉莉初雪奶茶:1;霸气橙子:1;
151,钱七,瑞幸,2024-02-24 17:23:00,已完成,96.8,橙C美式:1;鲜萃轻轻茉莉:3;荔枝冰萃:1;生椰拿铁:1;
152,stu_36,蜜雪冰城,2024-02-24 14:09:00,已完成,10.0,冰鲜柠檬水:2;
153,stu_41,古茗,2024-02-25 11:35:00,已取消,59.0,桃桃冰冰李:2;云深幽兰:1;云雾栀子:1;
154,吴十,茶百道,2024-02-25 19:13:00,已完成,14.0,青提茉莉:1;
155,stu_44,古茗,2024-02-25 06:12:00,已完成,14.0,桃桃冰冰李:1;
156,stu_19,喜茶,2024-02-26 06:50:00,已完成,19.0,羽衣纤体瓶:1;
157,stu_43,茶百道,2024-02-26 07:43:00,已完成,14.0,青提茉莉:1;
158,stu_31,蜜雪冰城,2024-02-27 22:08:00,已完成,32.0,青提肉多多:4;
159,stu_25,蜜雪冰城,2024-02-27 18:50:00,已取消,11.0,新鲜冰激凌:2;冰鲜柠檬水:1;
160,钱七,茶百道,2024-02-28 06:17:00,已完成,86.0,青提茉莉:1;蜜瓜冰淇淋:4;
161,stu_21,星巴克,2024-02-28 10:15:00,已完成,37.0,焦糖玛奇朵:1;
162,stu_23,茶百道,2024-02-29 21:02:00,已完成,18.0,蜜瓜冰淇淋:1;
163,stu_3,奈雪的茶,2024-02-29 12:23:00,已完成,51.0,茉莉初雪奶茶:1;霸气橙子:1;金色山脉珍珠奶茶:1;
164,stu_1,瑞幸,2024-03-01 18:50:00,已完成,34.9,橙C美式:1;荔枝冰萃:1;
165,stu_44,喜茶,2024-03-01 08:03:00,已完成,19.0,羽衣纤体瓶:1;
166,stu_31,瑞幸,2024-03-02 15:44:00,已完成,79.0,鲜萃轻轻茉莉:1;荔枝冰萃:3;
167,stu_39,奈雪的茶,2024-03-02 22:21:00,已完成,16.0,茉莉初雪奶茶:1;
168,stu_29,喜茶,2024-03-02 12:59:00,已完成,65.0,清爽芭乐提:1;牦牛乳酥油茶:2;
169,stu_46,蜜雪冰城,2024-03-02 08:22:00,已完成,6.0,新鲜冰激凌:2;
170,stu_35,茶百道,2024-03-02 21:58:00,已完成,28.0,青提茉莉:2;
171,stu_7,茶百道,2024-03-03 13:58:00,已完成,46.0,青提茉莉:2;蜜瓜冰淇淋:1;
172,stu_12,蜜雪冰城,2024-03-03 12:37:00,已完成,47.0,青提肉多多:1;新鲜冰激凌:1;满杯百香果:2;冰鲜柠檬水:4;
173,stu_16,蜜雪冰城,2024-03-03 12:23:00,已完成,29.0,青提肉多多:1;新鲜冰激凌:1;满杯百香果:1;冰鲜柠檬水:2;
174,stu_15,奈雪的茶,2024-03-04 14:15:00,已完成,35.0,茉莉初雪奶茶:1;霸气橙子:1;
175,stu_29,瑞幸,2024-03-04 11:47:00,已完成,50.9,鲜萃轻轻茉莉:1;荔枝冰萃:1;生椰拿铁:1;
176,stu_33,蜜雪冰城,2024-03-04 07:22:00,已完成,5.0,冰鲜柠檬水:1;
177,stu_47,蜜雪冰城,2024-03-04 22:24:00,已完成,3.0,新鲜冰激凌:1;
178,stu_4,蜜雪冰城,2024-03-05 09:14:00,已完成,3.0,新鲜冰激凌:1;
179,stu_9,奈雪的茶,2024-03-05 14:48:00,已取消,16.0,金色山脉珍珠奶茶:1;
180,stu_31,古茗,2024-03-05 09:11:00,已完成,14.0,桃桃冰冰李:1;
181,stu_49,茶百道,2024-03-05 20:49:00,已完成,54.0,蜜瓜冰淇淋:3;
182,stu_9,蜜雪冰城,2024-03-06 09:41:00,已完成,5.0,冰鲜柠檬水:1;
183,stu_39,蜜雪冰城,2024-03-06 13:41:00,已完成,6.0,新鲜冰激凌:2;
184,stu_2,奈雪的茶,2024-03-06 09:53:00,已完成,19.0,霸气橙子:1;
185,stu_50,喜茶,2024-03-07 12:31:00,已完成,126.0,清爽芭乐提:1;牦牛乳酥油茶:3;羽衣纤体瓶:2;
186,stu_5,星巴克,2024-03-07 09:32:00,已完成,78.0,比利时黑巧拿铁:2;
187,stu_38,奈雪的茶,2024-03-08 15:30:00,已完成,57.0,霸气橙子:3;
188,stu_48,喜茶,2024-03-08 11:48:00,已完成,101.0,清爽芭乐提:1;牦牛乳酥油茶:2;多肉桃李:1;羽衣纤体瓶:1;
189,stu_31,茶百道,2024-03-09 09:41:00,已完成,22.0,超级大瓜:1;
190,stu_11,古茗,2024-03-09 07:21:00,已完成,45.0,桃桃冰冰李:1;云深幽兰:1;云雾栀子:1;
191,stu_33,奈雪的茶,2024-03-09 13:07:00,已完成,16.0,茉莉初雪奶茶:1;
192,stu_23,古茗,2024-03-09 07:10:00,已完成,14.0,云雾栀子:1;
193,stu_6,茶百道,2024-03-10 11:28:00,已完成,32.0,青提茉莉:1;蜜瓜冰淇淋:1;
194,stu_4,古茗,2024-03-10 07:53:00,已完成,28.0,云雾栀子:2;
195,stu_28,瑞幸,2024-03-10 08:55:00,已完成,48.8,荔枝冰萃:1;生椰拿铁:2;
196,stu_33,星巴克,2024-03-11 15:20:00,已完成,33.0,燕麦拿铁:1;
197,吴十,茶百道,2024-03-11 21:21:00,已完成,28.0,青提茉莉:2;
198,stu_47,古茗,2024-03-11 20:52:00,待处理,51.0,云深幽兰:3;
199,stu_46,星巴克,2024-03-11 13:11:00,已完成,32.0,抹茶星冰乐:1;
200,stu_27,奈雪的茶,2024-03-12 06:21:00,已完成,57.0,霸气橙子:3;
201,stu_36,瑞幸,2024-03-12 15:52:00,已完成,13.9,生椰拿铁:1;
202,stu_50,星巴克,2024-03-12 19:50:00,已完成,33.0,燕麦拿铁:1;
203,stu_3,茶百道,2024-03-13 17:09:00,已完成,36.0,蜜瓜冰淇淋:2;
204,钱七,茶百道,2024-03-13 13:12:00,已完成,36.0,青提茉莉:1;超级大瓜:1;
205,stu_48,茶百道,2024-03-13 09:00:00,已完成,22.0,超级大瓜:1;
206,王五,喜茶,2024-03-14 15:17:00,已完成,19.0,羽衣纤体瓶:1;
207,stu_12,蜜雪冰城,2024-03-14 07:24:00,已完成,3.0,新鲜冰激凌:1;
208,stu_29,蜜雪冰城,2024-03-15 15:41:00,已完成,8.0,满杯百香果:1;
209,stu_36,瑞幸,2024-03-15 10:19:00,已完成,29.9,鲜萃轻轻茉莉:1;生椰拿铁:1;
210,stu_25,古茗,2024-03-15 10:06:00,已完成,14.0,云雾栀子:1;
211,stu_42,古茗,2024-03-16 11:19:00,已完成,56.0,桃桃冰冰李:3;云雾栀子:1;
212,stu_3,茶百道,2024-03-16 13:04:00,已完成,28.0,青提茉莉:2;
213,stu_14,喜茶,2024-03-16 11:27:00,已完成,78.0,清爽芭乐提:1;牦牛乳酥油茶:1;多肉桃李:1;羽衣纤体瓶:1;
214,stu_10,瑞幸,2024-03-16 16:26:00,已完成,29.9,羽衣轻体果蔬茶:1;生椰拿铁:1;
215,stu_24,蜜雪冰城,2024-03-16 21:23:00,已完成,3.0,新鲜冰激凌:1;
216,周九,蜜雪冰城,2024-03-17 17:46:00,已完成,32.0,青提肉多多:1;新鲜冰激凌:1;满杯百香果:2;冰鲜柠檬水:1;
217,stu_9,古茗,2024-03-17 11:41:00,已完成,14.0,云雾栀子:1;
218,stu_21,古茗,2024-03-17 15:44:00,已完成,28.0,桃桃冰冰李:1;云雾栀子:1;
219,stu_49,蜜雪冰城,2024-03-18 15:09:00,已取消,3.0,新鲜冰激凌:1;
220,吴十,蜜雪冰城,2024-03-18 19:21:00,已完成,8.0,满杯百香果:1;
221,钱七,茶百道,2024-03-19 09:29:00,已完成,88.0,超级大瓜:4;
222,孙八,喜茶,2024-03-19 16:14:00,已完成,19.0,羽衣纤体瓶:1;
223,stu_26,蜜雪冰城,2024-03-19 12:13:00,已完成,5.0,冰鲜柠檬水:1;
224,stu_19,蜜雪冰城,2024-03-20 12:24:00,已完成,22.0,新鲜冰激凌:2;满杯百香果:2;
225,stu_46,古茗,2024-03-20 21:49:00,已完成,42.0,云雾栀子:3;
226,周九,茶百道,2024-03-21 11:56:00,已完成,32.0,青提茉莉:1;蜜瓜冰淇淋:1;
227,stu_17,蜜雪冰城,2024-03-21 08:15:00,已完成,5.0,冰鲜柠檬水:1;
228,stu_32,瑞幸,2024-03-21 16:20:00,已完成,16.0,鲜萃轻轻茉莉:1;
229,stu_48,茶百道,2024-03-22 19:41:00,已完成,18.0,蜜瓜冰淇淋:1;
230,stu_19,蜜雪冰城,2024-03-22 21:51:00,已完成,24.0,青提肉多多:3;
231,吴十,奈雪的茶,2024-03-23 21:58:00,已完成,64.0,茉莉初雪奶茶:4;
232,stu_33,奈雪的茶,2024-03-23 17:12:00,已完成,51.0,茉莉初雪奶茶:1;霸气橙子:1;金色山脉珍珠奶茶:1;
233,赵六,茶百道,2024-03-23 19:20:00,已完成,72.0,蜜瓜冰淇淋:4;
234,stu_27,蜜雪冰城,2024-03-23 22:58:00,已完成,16.0,青提肉多多:2;
235,stu_36,喜茶,2024-03-24 16:40:00,已完成,19.0,清爽芭乐提:1;
236,stu_43,瑞幸,2024-03-24 06:11:00,已完成,13.9,生椰拿铁:1;
237,stu_12,古茗,2024-03-24 10:03:00,已完成,17.0,云深幽兰:1;
238,stu_17,蜜雪冰城,2024-03-24 13:35:00,已完成,5.0,冰鲜柠檬水:1;
239,周九,奈雪的茶,2024-03-25 11:20:00,已完成,83.0,茉莉初雪奶茶:1;霸气橙子:1;金色山脉珍珠奶茶:3;
240,stu_35,蜜雪冰城,2024-03-25 08:19:00,已完成,8.0,满杯百香果:1;
241,李四,蜜雪冰城,2024-03-26 20:58:00,已完成,8.0,青提肉多多:1;
242,stu_45,蜜雪冰城,2024-03-26 15:30:00,已完成,5.0,冰鲜柠檬水:1;
243,stu_37,蜜雪冰城,2024-03-26 10:35:00,已完成,8.0,青提肉多多:1;
244,stu_45,奈雪的茶,2024-03-27 18:56:00,已完成,16.0,金色山脉珍珠奶茶:1;
245,stu_38,古茗,2024-03-27 21:21:00,已完成,14.0,云雾栀子:1;
246,stu_31,古茗,2024-03-27 07:32:00,已完成,14.0,云雾栀子:1;
247,stu_34,星巴克,2024-03-28 12:09:00,已完成,69.0,抹茶星冰乐:1;焦糖玛奇朵:1;
248,stu_7,古茗,2024-03-28 15:37:00,已完成,14.0,桃桃冰冰李:1;
249,stu_17,奈雪的茶,2024-03-28 18:32:00,已完成,70.0,茉莉初雪奶茶:1;霸气橙子:2;金色山脉珍珠奶茶:1;
250,stu_19,星巴克,2024-03-29 10:58:00,已完成,74.0,焦糖玛奇朵:2;
251,stu_12,茶百道,2024-03-29 22:38:00,已完成,28.0,青提茉莉:2;
252,stu_10,古茗,2024-03-30 14:30:00,已完成,14.0,桃桃冰冰李:1;
253,stu_3,喜茶,2024-03-30 11:11:00,已完成,19.0,羽衣纤体瓶:1;
254,吴十,星巴克,2024-03-30 17:04:00,已完成,178.0,抹茶星冰乐:1;焦糖玛奇朵:2;燕麦拿铁:1;比利时黑巧拿铁:1;
255,stu_46,星巴克,2024-03-31 22:40:00,已完成,32.0,抹茶星冰乐:1;
256,吴十,奈雪的茶,2024-03-31 21:37:00,已完成,19.0,霸气橙子:1;
257,stu_37,奈雪的茶,2024-03-31 21:59:00,已完成,19.0,霸气橙子:1;
258,李四,蜜雪冰城,2024-04-01 13:07:00,已完成,16.0,满杯百香果:2;
259,stu_15,喜茶,2024-04-01 12:16:00,已完成,99.0,清爽芭乐提:1;牦牛乳酥油茶:1;羽衣纤体瓶:3;
